path,sigma_px,offset_px,distance_px,x,y,red,green,blue,saturation,value
A,0,-1,3.0,148.0,215.0,94.0,161.0,180.0,0.4777777777777778,180.0
A,0,-1,3.25,148.25,215.0,92.25,158.75,177.5,0.4802816901408451,177.5
A,0,-1,3.5,148.5,215.0,90.5,156.5,175.0,0.4828571428571429,175.0
A,0,-1,3.75,148.75,215.0,88.75,154.25,172.5,0.4855072463768116,172.5
A,0,-1,4.0,149.0,215.0,87.0,152.0,170.0,0.48823529411764705,170.0
A,0,-1,4.25,149.25,215.0,85.5,149.5,167.75,0.4903129657228018,167.75
A,0,-1,4.5,149.5,215.0,84.0,147.0,165.5,0.49244712990936557,165.5
A,0,-1,4.75,149.75,215.0,82.5,144.5,163.25,0.4946401225114854,163.25
A,0,-1,5.0,150.0,215.0,81.0,142.0,161.0,0.4968944099378882,161.0
A,0,-1,5.25,150.25,215.0,80.75,141.0,160.25,0.4960998439937597,160.25
A,0,-1,5.5,150.5,215.0,80.5,140.0,159.5,0.4952978056426332,159.5
A,0,-1,5.75,150.75,215.0,80.25,139.0,158.75,0.494488188976378,158.75
A,0,-1,6.0,151.0,215.0,80.0,138.0,158.0,0.4936708860759494,158.0
A,0,-1,6.25,151.25,215.0,80.5,134.5,153.0,0.4738562091503268,153.0
A,0,-1,6.5,151.5,215.0,81.0,131.0,148.0,0.4527027027027027,148.0
A,0,-1,6.75,151.75,215.0,81.5,127.5,143.0,0.43006993006993005,143.0
A,0,-1,7.0,152.0,215.0,82.0,124.0,138.0,0.4057971014492754,138.0
A,0,-1,7.25,152.25,215.0,77.0,120.5,134.5,0.4275092936802974,134.5
A,0,-1,7.5,152.5,215.0,72.0,117.0,131.0,0.45038167938931295,131.0
A,0,-1,7.75,152.75,215.0,67.0,113.5,127.5,0.4745098039215686,127.5
A,0,-1,8.0,153.0,215.0,62.0,110.0,124.0,0.5,124.0
A,0,-1,8.25,153.25,215.0,61.5,112.0,126.0,0.5119047619047619,126.0
A,0,-1,8.5,153.5,215.0,61.0,114.0,128.0,0.5234375,128.0
A,0,-1,8.75,153.75,215.0,60.5,116.0,130.0,0.5346153846153846,130.0
A,0,-1,9.0,154.0,215.0,60.0,118.0,132.0,0.5454545454545454,132.0
A,0,-1,9.25,154.25,215.0,70.5,130.25,145.25,0.5146299483648882,145.25
A,0,-1,9.5,154.5,215.0,81.0,142.5,158.5,0.4889589905362776,158.5
A,0,-1,9.75,154.75,215.0,91.5,154.75,171.75,0.4672489082969432,171.75
A,0,-1,10.0,155.0,215.0,102.0,167.0,185.0,0.4486486486486487,185.0
A,0,-1,10.25,155.25,215.0,99.25,165.0,183.25,0.4583901773533424,183.25
A,0,-1,10.5,155.5,215.0,96.5,163.0,181.5,0.46831955922865015,181.5
A,0,-1,10.75,155.75,215.0,93.75,161.0,179.75,0.47844228094575797,179.75
A,0,-1,11.0,156.0,215.0,91.0,159.0,178.0,0.4887640449438202,178.0
A,0,-1,11.25,156.25,215.0,91.25,158.75,178.5,0.4887955182072829,178.5
A,0,-1,11.5,156.5,215.0,91.5,158.5,179.0,0.4888268156424581,179.0
A,0,-1,11.75,156.75,215.0,91.75,158.25,179.5,0.48885793871866295,179.5
A,0,-1,12.0,157.0,215.0,92.0,158.0,180.0,0.4888888888888889,180.0
A,0,-1,12.25,157.25,215.0,94.5,159.5,181.75,0.48005502063273725,181.75
A,0,-1,12.5,157.5,215.0,97.0,161.0,183.5,0.4713896457765668,183.5
A,0,-1,12.75,157.75,215.0,99.5,162.5,185.25,0.46288798920377866,185.25
A,0,-1,13.0,158.0,215.0,102.0,164.0,187.0,0.45454545454545453,187.0
